timestamp,gate,crowd
2026-08-20 05:00,Gate_A,35
2026-08-20 06:00,Gate_A,60
2026-08-20 07:00,Gate_A,95
2026-08-20 08:00,Gate_A,130
2026-08-20 09:00,Gate_A,175
2026-08-20 10:00,Gate_A,220
2026-08-20 11:00,Gate_A,240
2026-08-20 12:00,Gate_A,250
2026-08-20 13:00,Gate_A,245
2026-08-20 14:00,Gate_A,235
2026-08-20 15:00,Gate_A,220
2026-08-20 16:00,Gate_A,210
2026-08-20 17:00,Gate_A,225
2026-08-20 18:00,Gate_A,240
2026-08-20 19:00,Gate_A,230
2026-08-20 20:00,Gate_A,200
2026-08-20 21:00,Gate_A,170
2026-08-20 22:00,Gate_A,120
2026-08-20 23:00,Gate_A,70

2026-08-20 05:00,Gate_B,25
2026-08-20 06:00,Gate_B,40
2026-08-20 07:00,Gate_B,60
2026-08-20 08:00,Gate_B,90
2026-08-20 09:00,Gate_B,120
2026-08-20 10:00,Gate_B,150
2026-08-20 11:00,Gate_B,170
2026-08-20 12:00,Gate_B,180
2026-08-20 13:00,Gate_B,175
2026-08-20 14:00,Gate_B,165
2026-08-20 15:00,Gate_B,150
2026-08-20 16:00,Gate_B,145
2026-08-20 17:00,Gate_B,160
2026-08-20 18:00,Gate_B,175
2026-08-20 19:00,Gate_B,170
2026-08-20 20:00,Gate_B,145
2026-08-20 21:00,Gate_B,120
2026-08-20 22:00,Gate_B,80
2026-08-20 23:00,Gate_B,50

2026-08-20 05:00,Gate_C,50
2026-08-20 06:00,Gate_C,80
2026-08-20 07:00,Gate_C,120
2026-08-20 08:00,Gate_C,170
2026-08-20 09:00,Gate_C,220
2026-08-20 10:00,Gate_C,270
2026-08-20 11:00,Gate_C,300
2026-08-20 12:00,Gate_C,320
2026-08-20 13:00,Gate_C,310
2026-08-20 14:00,Gate_C,295
2026-08-20 15:00,Gate_C,280
2026-08-20 16:00,Gate_C,260
2026-08-20 17:00,Gate_C,280
2026-08-20 18:00,Gate_C,300
2026-08-20 19:00,Gate_C,290
2026-08-20 20:00,Gate_C,250
2026-08-20 21:00,Gate_C,200
2026-08-20 22:00,Gate_C,140
2026-08-20 23:00,Gate_C,90

2026-08-20 05:00,Gate_D,20
2026-08-20 06:00,Gate_D,30
2026-08-20 07:00,Gate_D,50
2026-08-20 08:00,Gate_D,75
2026-08-20 09:00,Gate_D,100
2026-08-20 10:00,Gate_D,130
2026-08-20 11:00,Gate_D,150
2026-08-20 12:00,Gate_D,170
2026-08-20 13:00,Gate_D,165
2026-08-20 14:00,Gate_D,155
2026-08-20 15:00,Gate_D,145
2026-08-20 16:00,Gate_D,140
2026-08-20 17:00,Gate_D,150
2026-08-20 18:00,Gate_D,165
2026-08-20 19:00,Gate_D,160
2026-08-20 20:00,Gate_D,130
2026-08-20 21:00,Gate_D,100
2026-08-20 22:00,Gate_D,70
2026-08-20 23:00,Gate_D,40

2026-08-20 05:00,Gate_E,15
2026-08-20 06:00,Gate_E,25
2026-08-20 07:00,Gate_E,40
2026-08-20 08:00,Gate_E,65
2026-08-20 09:00,Gate_E,90
2026-08-20 10:00,Gate_E,120
2026-08-20 11:00,Gate_E,135
2026-08-20 12:00,Gate_E,150
2026-08-20 13:00,Gate_E,145
2026-08-20 14:00,Gate_E,135
2026-08-20 15:00,Gate_E,125
2026-08-20 16:00,Gate_E,120
2026-08-20 17:00,Gate_E,130
2026-08-20 18:00,Gate_E,145
2026-08-20 19:00,Gate_E,140
2026-08-20 20:00,Gate_E,120
2026-08-20 21:00,Gate_E,90
2026-08-20 22:00,Gate_E,60
2026-08-20 23:00,Gate_E,35
